Gesture ID,Label,Timestep,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
2,Hai,42,"-1,80523","-5,74608","2,33674","-7,49026","-3,55514","2,07974"
2,Hai,43,"1,30245","-4,20182","11,85369","-7,15292","-3,25564","2,74643"
2,Hai,44,"2,09971","-3,25133","17,26698","-6,18113","-1,89082","2,84022"
2,Hai,45,"4,78601","-2,69348","28,13905","-2,93295","-1,77224","1,99927"
2,Hai,46,"3,95283","-0,93134","28,2444","0,24435","0,63685","0,45458"
2,Hai,47,"1,68791","-0,58419","20,77449","3,47734","1,11541","-1,129"
2,Hai,48,"-0,59855","-1,73819","12,73236","5,44516","1,08903","-2,20231"
2,Hai,49,"-1,80762","-2,51631","6,18422","6,72818","0,17054","-2,90364"
2,Hai,50,"-2,75333","-2,48039","0,72784","7,36902","0,15695","-3,41898"
2,Hai,51,"-3,58891","-0,39744","-1,55863","7,40473","-0,085","-3,62522"
2,Hai,52,"-8,22408","1,7741","-5,05655","6,10226","0,44846","-3,76165"
2,Hai,53,"-11,8513","4,81235","-8,6311","4,00227","0,53879","-3,41498"
2,Hai,54,"-15,80891","4,10845","-12,45703","1,40639","0,17906","-1,80901"
2,Hai,55,"-16,00045","4,5418","-12,49534","-1,31126","-0,31736","0,58515"
2,Hai,56,"-11,03966","4,05817","-6,49547","-4,41848","-0,71252","2,2572"
2,Hai,57,"-7,13233","0,95768","-2,74854","-7,02049","0,5641","2,96253"
2,Hai,58,"-4,37899","-0,59137","-2,09253","-6,6493","1,65233","2,99584"
2,Hai,59,"-1,58017","-4,03902","2,55701","-7,37541","-1,5652","2,50075"
2,Hai,60,"-1,13485","-4,75249","7,65187","-6,76895","-2,18739","2,45838"
3,Hai,1,"-8,2576","6,80911","-1,9417","0,13963","-0,45538","0,10126"
3,Hai,2,"-8,59518","6,63673","-1,91776","0,14789","-0,94194","0,15988"
3,Hai,3,"-8,7125","6,67264","-2,28167","0,08127","-1,05439","0,28591"
3,Hai,4,"-8,08761","7,02459","-5,62159","-0,00213","-1,80395","0,54145"
3,Hai,5,"-8,20493","7,33105","-4,89614","-0,65177","-2,34807","0,88652"
3,Hai,6,"-7,72609","6,40449","-8,70292","-1,73707","-2,34087","0,81458"
3,Hai,7,"-6,40449","2,88501","-8,06128","-3,17943","-2,94574","0,9185"
3,Hai,8,"-3,96959","0,5363","-1,20907","-5,86297","-1,67365","1,45355"
3,Hai,9,"-0,52672","-1,51792","3,97198","-6,93415","-1,77384","1,85884"
3,Hai,10,"0,99838","-2,88262","14,63815","-5,54029","-3,29294","1,76558"
3,Hai,11,"3,66552","-0,51236","25,25165","-3,306","-2,30943","1,57346"
3,Hai,12,"3,34231","2,01592","24,8566","-0,07141","-0,30936","0,33787"
3,Hai,13,"1,27611","2,49236","18,72026","2,71472","1,46394","-0,92009"
3,Hai,14,"-1,56102","0,89304","11,66455","4,48829","1,83619","-1,81914"
3,Hai,15,"-2,46363","-1,26174","6,46913","5,59704","1,50924","-2,39123"
3,Hai,16,"-2,82516","-1,00556","1,99198","6,20564","1,15005","-2,61453"
3,Hai,17,"-5,86819","2,17394","-1,5706","6,10226","1,44796","-2,5727"
3,Hai,18,"-9,36372","5,00628","-3,04303","5,479","2,01446","-2,32329"
3,Hai,19,"-11,54963","5,32949","-7,46512","4,15895","2,27506","-1,6153"
3,Hai,20,"-12,99094","4,75488","-12,98615","2,2596","1,36216","-0,42021"
3,Hai,21,"-11,25754","4,88657","-13,61822","0,18599","0,31043","0,62352"
3,Hai,22,"-8,58321","4,13479","-11,1067","-1,96916","-0,33175","1,24838"
3,Hai,23,"-6,26802","2,42772","-7,09881","-4,06115","-0,59448","1,26436"
3,Hai,24,"-4,18028","0,03352","-4,39575","-5,62955","-0,94461","0,9614"
3,Hai,25,"-2,54264","-2,08296","-2,72221","-6,54379","-1,42451","0,84415"
3,Hai,26,"-1,60172","-2,66475","2,20506","-6,80066","-1,91107","0,98085"
3,Hai,27,"-3,24654","-1,14682","11,36528","-6,71885","-1,52177","1,06025"
3,Hai,28,"-2,58334","-0,17478","19,86469","-5,83153","-1,26436","0,99124"
3,Hai,29,"-3,35428","-1,01754","25,28995","-3,68384","-1,06185","1,17963"
3,Hai,30,"0,10295","-0,50278","25,66824","-0,38211","-1,35816","1,04773"
3,Hai,31,"0,84755","0,87388","21,71541","2,9556","-1,19269","0,07301"
3,Hai,32,"-0,04788","-0,46448","14,27902","4,52746","0,42181","-1,00963"
3,Hai,33,"-0,8667","-2,97599","7,28795","5,6149","1,2244","-1,84072"
3,Hai,34,"-0,80206","-3,69186","0,99838","6,47397","0,77807","-2,45066"
3,Hai,35,"-2,44209","-1,06781","-1,63285","6,78813","0,46738","-2,98545"
3,Hai,36,"-8,98304","1,18513","-2,73178","6,32582","0,67122","-3,73847"
3,Hai,37,"-14,62139","4,07493","-9,31823","4,94368","1,2673","-3,62869"
3,Hai,38,"-19,46965","2,35111","-16,49126","3,73207","1,03281","-1,97129"
3,Hai,39,"-17,3436","4,15633","-16,848","-0,14735","1,01176","1,0853"
3,Hai,40,"-10,81221","3,83551","-9,1674","-3,33158","-0,7008","2,46531"
3,Hai,41,"-5,59764","1,31442","-3,76129","-5,06572","-0,38584","2,72458"
3,Hai,42,"-3,19626","-0,71587","-2,12845","-6,80225","1,24092","2,6052"
3,Hai,43,"-1,42934","-2,61207","0,66319","-7,30187","0,07807","1,86817"
3,Hai,44,"0,12929","-3,17471","8,25281","-7,20648","-1,84285","1,7003"
3,Hai,45,"1,02711","-2,36068","17,02996","-6,3117","-2,954","1,92759"
3,Hai,46,"2,18591","-1,28329","23,15911","-4,2197","-3,15145","1,54522"
3,Hai,47,"4,86262","-0,62249","29,12307","-0,69094","-1,26916","0,14149"
3,Hai,48,"2,50194","-0,24181","21,86146","2,2652","1,37015","-0,98271"
3,Hai,49,"-0,91698","-0,78051","14,95418","4,23142","1,80981","-1,73201"
3,Hai,50,"-3,42131","-1,15161","7,69018","5,57839","1,26543","-2,46211"
3,Hai,51,"-3,77087","-2,26491","2,09253","6,54991","0,94754","-3,03128"
3,Hai,52,"-2,46603","-2,35589","-1,30963","6,98265","1,28648","-2,99477"
3,Hai,53,"-5,27203","-0,35674","-3,77087","6,80572","1,67525","-2,82264"
3,Hai,54,"-9,98143","2,58095","-7,8865","5,72548","2,86794","-2,79999"
3,Hai,55,"-12,3469","4,86023","-11,86088","4,12964","2,32702","-2,15275"
3,Hai,56,"-14,6166","4,37181","-17,42021","1,50685","2,35766","-0,84229"
3,Hai,57,"-12,17212","5,8203","-15,72751","-1,93319","0,90331","0,62938"
3,Hai,58,"-9,77313","4,17549","-8,94953","-3,84159","-1,11062","1,08583"
3,Hai,59,"-6,13873","1,93212","-4,77404","-5,30314","-2,05336","1,15218"
3,Hai,60,"-4,04381","-0,23224","-2,35111","-6,01193","-2,12397","1,41545"
4,Hai,1,"-6,69898","7,08923","-2,95444","0,00187","-0,07754","-0,11511"
4,Hai,2,"-6,70137","7,06289","-2,85868","-0,004","-0,07141","-0,06342"
4,Hai,3,"-6,91685","7,12993","-2,85628","-0,0064","-0,11005","0,01519"
4,Hai,4,"-6,86418","7,20894","-2,66714","-0,01732","-0,26966","0,05729"
4,Hai,5,"-6,73728","7,12036","-2,67193","-0,02238","-0,40236","0,10712"
4,Hai,6,"-6,99107","7,31189","-2,86347","-0,01652","-0,54225","0,11005"
4,Hai,7,"-7,15387","7,53695","-3,055","-0,02798","-1,13113","0,07994"
4,Hai,8,"-7,46751","7,71891","-3,56018","-0,15215","-1,57373","0,17107"
4,Hai,9,"-7,29753","7,87692","-3,63919","-0,34613","-2,18952","0,2614"
4,Hai,10,"-6,37097","7,98466","-6,5242","-0,72451","-2,85381","0,16254"
4,Hai,11,"-6,06451","6,90009","-5,94959","-1,50391","-3,73687","0,17373"
4,Hai,12,"-6,03099","5,64074","-4,49631","-2,91297","-3,22926","0,18572"
4,Hai,13,"-4,82432","3,18908","-2,02789","-4,01879","-2,81011","0,24728"
4,Hai,14,"-2,6025","1,4461","2,96881","-4,81471","-2,09892","0,6531"
4,Hai,15,"-2,61447","1,20907","9,05008","-5,30607","-1,66459","1,05919"
